model,episodes_seen,weighted_coverage,q25,q75,seed_count
full,16,0.224609375,0.21484375,0.236328125,5
full,36.0268456376,0.207217975277,0.205430120874,0.230649910971,5
full,56.0536912752,0.267239451359,0.245874120412,0.300838230636,5
full,76.0805369128,0.313109532299,0.311798710151,0.326696203859,5
full,96.1073825503,0.275771565967,0.272023149654,0.291499291621,5
full,116.134228188,0.342634490352,0.331450555789,0.373693110319,5
full,136.161073826,0.356475568415,0.354868553965,0.366388380016,5
full,156.187919463,0.386920857374,0.376968774611,0.397285046569,5
full,176.214765101,0.405093694357,0.3822111269,0.407526152239,5
full,196.241610738,0.419689939734,0.411396180746,0.426322833559,5
full,216.268456376,0.442344798658,0.433347315436,0.453806627517,5
full,236.295302013,0.414186198808,0.403542965005,0.416764933742,5
full,256.322147651,0.462804110738,0.453001782718,0.482475618708,5
full,276.348993289,0.382168592059,0.379163839928,0.414934812012,5
full,296.375838926,0.456183796794,0.394893063664,0.483787671423,5
full,316.402684564,0.422510427724,0.415718335887,0.447892599259,5
full,336.429530201,0.447746917428,0.440336425179,0.450039418295,5
full,356.456375839,0.463680723049,0.431312591758,0.475861537857,5
full,376.483221477,0.418673303529,0.41588553259,0.432820846459,5
full,396.510067114,0.446538118708,0.437217190122,0.464790333997,5
full,416.536912752,0.446220177459,0.410610088729,0.454537343985,5
full,436.563758389,0.437066626147,0.396403685871,0.457698966751,5
full,456.590604027,0.411142315961,0.399028680789,0.432021091128,5
full,476.617449664,0.417955541461,0.394511955501,0.432691055003,5
full,496.644295302,0.45729760906,0.43693477349,0.463061031879,5
full,516.67114094,0.436032213588,0.431383075199,0.448095321917,5
full,536.697986577,0.449877438129,0.438404467282,0.465060035654,5
full,556.724832215,0.449076432167,0.429078904003,0.463091689067,5
full,576.751677852,0.445026928032,0.423231634044,0.44631594773,5
full,596.77852349,0.468278425045,0.4263499328,0.48494603693,5
full,616.805369128,0.429778856278,0.427377443479,0.449507732781,5
full,636.832214765,0.463350723574,0.446137662542,0.469251389471,5
full,656.859060403,0.452441018354,0.435135009331,0.456347696377,5
full,676.88590604,0.458919489304,0.452318188968,0.525711121015,5
full,696.912751678,0.449617400442,0.403819414721,0.457058590005,5
full,716.939597315,0.465746745951,0.436868263979,0.467205102469,5
full,736.966442953,0.457066642198,0.43972184354,0.482559511326,5
full,756.993288591,0.431009223373,0.411488072053,0.446431982241,5
full,777.020134228,0.489871277265,0.473917916317,0.502910025168,5
full,797.046979866,0.434826190334,0.428760936002,0.436395271196,5
full,817.073825503,0.450193439897,0.435756138393,0.458050748613,5
full,837.100671141,0.453643978565,0.444321892977,0.477297362947,5
full,857.127516779,0.440775049009,0.430757960168,0.474913204848,5
full,877.154362416,0.474463873742,0.447819447357,0.477398149119,5
full,897.181208054,0.43807702926,0.424165193552,0.441054735653,5
full,917.208053691,0.459040084941,0.445266621225,0.478794174706,5
full,937.234899329,0.410663778934,0.400985631249,0.45459429787,5
full,957.261744966,0.466270807295,0.415563257602,0.474646225153,5
full,977.288590604,0.452646549916,0.44931050755,0.478974412752,5
full,997.315436242,0.463189973976,0.453773455691,0.478606312491,5
full,1017.34228188,0.45527870754,0.455105036981,0.492455228736,5
full,1037.36912752,0.42768060454,0.411035838413,0.458190123784,5
full,1057.39597315,0.430880348154,0.414291893876,0.441976457634,5
full,1077.42281879,0.459154567867,0.441280304068,0.45990788933,5
full,1097.44966443,0.460074979027,0.440974989513,0.484053848574,5
full,1117.47651007,0.445809649363,0.415501729215,0.448085878647,5
full,1137.5033557,0.451669452387,0.420988589962,0.482991547605,5
full,1157.53020134,0.481058619966,0.448070469799,0.485607172819,5
full,1177.55704698,0.460260821506,0.45579051671,0.46469822199,5
full,1197.58389262,0.486734479866,0.459663380872,0.510898175336,5
full,1217.61073826,0.469495724045,0.425636043008,0.469954351287,5
full,1237.63758389,0.459992637995,0.432166291433,0.480211400836,5
full,1257.66442953,0.439888371456,0.426094563245,0.483890905355,5
full,1277.69127517,0.447429344011,0.431933821138,0.456393227383,5
full,1297.71812081,0.462653366191,0.426149591023,0.48714607802,5
full,1317.74496644,0.429593548829,0.39938535817,0.432735455759,5
full,1337.77181208,0.456618341023,0.455201342282,0.47913826552,5
full,1357.79865772,0.470973582386,0.448547288043,0.495352734214,5
full,1377.82550336,0.473793722606,0.466590888663,0.487270846887,5
full,1397.85234899,0.494882550336,0.484458892617,0.50353397651,5
full,1417.87919463,0.450133382841,0.446841346648,0.473463208165,5
full,1437.90604027,0.470847315436,0.463664010067,0.493760486577,5
full,1457.93288591,0.47528688279,0.426364111081,0.476039776229,5
full,1477.95973154,0.494314777085,0.47513718155,0.531959449048,5
full,1497.98657718,0.458144646281,0.43970967162,0.45980323757,5
full,1518.01342282,0.499410130034,0.476313443792,0.503899695889,5
full,1538.04026846,0.441380943107,0.414281380547,0.453524452986,5
full,1558.06711409,0.439674827828,0.424353992069,0.465671641192,5
full,1578.09395973,0.463883572777,0.435969615143,0.473963795092,5
full,1598.12080537,0.453316808057,0.442841065222,0.468218314486,5
full,1618.14765101,0.508424653943,0.486215394295,0.510233588507,5
full,1638.17449664,0.440006559461,0.43858701933,0.448742680797,5
full,1658.20134228,0.4629169752,0.447197341867,0.485048936468,5
full,1678.22818792,0.460870888834,0.448665262036,0.463180075931,5
full,1698.25503356,0.454351421252,0.446138652346,0.465320661874,5
