model,metric,value_100
full,D1,58.180677753799905
full,D2,36.11711046699882
full,D3,92.62593222751299
full,D4,92.1221739751607
full,D5,50.57162145652365
full,D6,99.780808369761
full,D7,48.72316183222739
full,综合得分,58.97524031860311
a2c_pointer,D1,58.782655294746135
a2c_pointer,D2,36.16107587101657
a2c_pointer,D3,92.64327326007388
a2c_pointer,D4,90.67420198149118
a2c_pointer,D5,51.41184144192314
a2c_pointer,D6,99.71198170749926
a2c_pointer,D7,47.81061076303148
a2c_pointer,综合得分,58.56637464096326
traditional_ppo,D1,30.280159407465217
traditional_ppo,D2,36.39425597914372
traditional_ppo,D3,92.91369411141036
traditional_ppo,D4,94.6573380760536
traditional_ppo,D5,63.45187509648341
traditional_ppo,D6,99.43681901350084
traditional_ppo,D7,26.76402171188932
traditional_ppo,综合得分,54.87433193064315
