environment_interactions,episodes_seen,median,model,q25,q75,record_type,safe_weighted_coverage,training_seed
66.0,16.0,,full,,,seed,0.338467261904762,42.0
964.0,160.0,,full,,,seed,0.4715726568405139,42.0
1682.0,250.0,,full,,,seed,0.4833416005291005,42.0
2192.0,314.0,,full,,,seed,0.4822845804988663,42.0
3499.0,474.0,,full,,,seed,0.4904006046863191,42.0
3713.0,500.0,,full,,,seed,0.4964143990929706,42.0
4788.0,628.0,,full,,,seed,0.494034627739985,42.0
6245.0,788.0,,full,,,seed,0.4971265589569158,42.0
7831.0,948.0,,full,,,seed,0.4938480253212396,42.0
8319.0,1000.0,,full,,,seed,0.4950479497354498,42.0
9210.0,1096.0,,full,,,seed,0.4990634448223733,42.0
10685.0,1256.0,,full,,,seed,0.4942731953892667,42.0
12093.0,1416.0,,full,,,seed,0.4971206538170825,42.0
12844.0,1500.0,,full,,,seed,0.5004369803476945,42.0
13403.0,1564.0,,full,,,seed,0.5062688964474676,42.0
14885.0,1724.0,,full,,,seed,0.4968348450491306,42.0
16416.0,1884.0,,full,,,seed,0.5004263510959939,42.0
17497.0,2000.0,,full,,,seed,0.5033375850340134,42.0
17785.0,2032.0,,full,,,seed,0.5024199263038546,42.0
19298.0,2192.0,,full,,,seed,0.5015093537414964,42.0
20845.0,2352.0,,full,,,seed,0.4954542233560089,42.0
22179.0,2500.0,,full,,,seed,0.4944444444444446,42.0
23608.0,2660.0,,full,,,seed,0.4971785241874529,42.0
25114.0,2820.0,,full,,,seed,0.4986748866213152,42.0
26487.0,2980.0,,full,,,seed,0.4930390211640212,42.0
26679.0,3000.0,,full,,,seed,0.4941728080120937,42.0
78.0,16.0,,full,,,seed,0.3687063019652306,43.0
958.0,160.0,,full,,,seed,0.4738484977324261,43.0
1675.0,250.0,,full,,,seed,0.4900770030234316,43.0
2182.0,314.0,,full,,,seed,0.4914540816326529,43.0
3602.0,474.0,,full,,,seed,0.4937866118669689,43.0
3816.0,500.0,,full,,,seed,0.4926032218442933,43.0
4946.0,628.0,,full,,,seed,0.4928323412698411,43.0
6390.0,788.0,,full,,,seed,0.4954152494331063,43.0
7831.0,948.0,,full,,,seed,0.4961864606953892,43.0
8300.0,1000.0,,full,,,seed,0.4922878873771729,43.0
9177.0,1096.0,,full,,,seed,0.4861961451247167,43.0
10595.0,1256.0,,full,,,seed,0.4951755007558581,43.0
11996.0,1416.0,,full,,,seed,0.4972363945578231,43.0
12722.0,1500.0,,full,,,seed,0.493791335978836,43.0
13306.0,1564.0,,full,,,seed,0.4919867252456538,43.0
14711.0,1724.0,,full,,,seed,0.4992500472411184,43.0
16218.0,1884.0,,full,,,seed,0.4957459372637942,43.0
17201.0,2000.0,,full,,,seed,0.4956857048374904,43.0
17474.0,2032.0,,full,,,seed,0.496580924036281,43.0
18914.0,2192.0,,full,,,seed,0.500090939153439,43.0
20433.0,2352.0,,full,,,seed,0.4989134542705969,43.0
21760.0,2500.0,,full,,,seed,0.4955050075585788,43.0
23253.0,2660.0,,full,,,seed,0.499311460695389,43.0
24881.0,2820.0,,full,,,seed,0.5016250944822372,43.0
26331.0,2980.0,,full,,,seed,0.5025025982615267,43.0
26535.0,3000.0,,full,,,seed,0.5005113851095994,43.0
76.0,16.0,,full,,,seed,0.3706939720332575,44.0
1011.0,160.0,,full,,,seed,0.4627161281179135,44.0
1727.0,250.0,,full,,,seed,0.4696936413454269,44.0
2237.0,314.0,,full,,,seed,0.4753802910052908,44.0
3617.0,474.0,,full,,,seed,0.4837679516250944,44.0
3815.0,500.0,,full,,,seed,0.4845462490551775,44.0
4992.0,628.0,,full,,,seed,0.4877326625094479,44.0
