operational_floor,training_weight,first_share
0.0,0.1,0.16981132075471697
0.0,0.15,0.2850877192982456
0.0,0.2,0.39622641509433965
0.0,0.25,0.5235294117647059
0.0,0.3,0.6781609195402298
0.0,0.35,0.8333333333333334
0.0,0.4,1.0
0.2,0.1,0.37735849056603776
0.2,0.15,0.49122807017543857
0.2,0.2,0.610062893081761
0.2,0.25,0.7205882352941176
0.2,0.3,0.867816091954023
0.2,0.35,0.9848484848484849
0.2,0.4,1.0
0.4,0.1,0.6509433962264151
0.4,0.15,0.7192982456140351
0.4,0.2,0.8207547169811321
0.4,0.25,0.8941176470588236
0.4,0.3,0.9885057471264368
0.4,0.35,1.0
0.4,0.4,1.0
0.6,0.1,0.7075471698113207
0.6,0.15,0.6710526315789473
0.6,0.2,0.6352201257861635
0.6,0.25,0.6088235294117647
0.6,0.3,0.6091954022988506
0.6,0.35,0.6818181818181818
0.6,0.4,0.8
0.8,0.1,1.0
0.8,0.15,1.0
0.8,0.2,1.0
0.8,0.25,1.0
0.8,0.3,1.0
0.8,0.35,1.0
0.8,0.4,1.0
